tasks_completed,average_score,average_teacher_score,average_model_score,time_spent,avg_attempts,late_submissions,efficiency_per_minute,correct_ratio,teacher_model_gap,late_ratio,final_efficiency_score
16,0.86,0.9,0.69,332,1.45,0,0.00259,0.5931,0.21,0.0,10.0
7,0.85,0.51,0.5,948,1.66,2,0.0009,0.512,0.01,0.2857,7.6
10,0.74,0.62,0.75,758,1.0,2,0.00098,0.74,0.13,0.2,8.14
3,0.54,0.73,0.59,594,1.27,0,0.00091,0.4252,0.14,0.0,7.45
18,0.64,0.71,0.82,450,2.29,1,0.00142,0.2795,0.11,0.0556,9.1
13,0.65,0.69,0.91,999,2.39,4,0.00065,0.272,0.22,0.3077,7.24
7,0.57,0.39,0.43,752,1.0,1,0.00076,0.57,0.04,0.1429,7.68
4,0.82,0.44,0.91,386,2.14,1,0.00212,0.3832,0.47,0.25,7.29
13,0.55,0.83,0.64,167,1.0,1,0.00329,0.55,0.19,0.0769,8.82
20,0.9,0.85,0.68,906,1.24,0,0.00099,0.7258,0.17,0.0,10.0
1,0.9,0.64,0.56,221,1.27,0,0.00407,0.7087,0.08,0.0,8.68
8,0.66,0.82,0.73,873,1.58,1,0.00076,0.4177,0.09,0.125,8.63
14,0.73,0.53,0.71,511,2.2,0,0.00143,0.3318,0.18,0.0,9.13
16,0.69,0.55,0.86,265,1.69,1,0.0026,0.4083,0.31,0.0625,9.28
14,0.79,0.52,0.59,649,1.41,1,0.00122,0.5603,0.07,0.0714,9.62
12,0.83,0.55,0.95,75,2.18,2,0.01107,0.3807,0.4,0.1667,8.3
19,0.73,0.74,0.8,386,1.0,1,0.00189,0.73,0.06,0.0526,10.0
15,0.75,0.55,0.71,667,1.45,1,0.00112,0.5172,0.16,0.0667,8.66
2,0.64,0.92,0.67,718,2.2,0,0.00089,0.2909,0.25,0.0,7.68
2,0.74,0.71,0.65,61,1.87,2,0.01213,0.3957,0.06,1.0,7.85
19,0.72,0.78,0.66,69,1.17,0,0.01043,0.6154,0.12,0.0,10.0
17,0.61,0.71,0.73,493,1.0,0,0.00124,0.61,0.02,0.0,10.0
20,0.7,0.8,0.67,184,1.72,2,0.0038,0.407,0.13,0.1,8.67
10,0.66,0.55,0.6,140,1.0,0,0.00471,0.66,0.05,0.0,9.48
6,0.64,0.82,0.73,544,1.35,2,0.00118,0.4741,0.09,0.3333,7.52
15,0.59,0.67,0.57,711,2.33,0,0.00083,0.2532,0.1,0.0,8.88
11,0.71,0.8,0.75,897,1.92,1,0.00079,0.3698,0.05,0.0909,8.7
5,0.62,0.48,0.67,209,1.0,0,0.00297,0.62,0.19,0.0,8.63
1,0.65,0.67,0.8,859,1.64,2,0.00076,0.3963,0.13,2.0,6.89
8,0.81,0.67,0.85,932,1.28,0,0.00087,0.6328,0.18,0.0,9.93
12,0.76,0.58,0.85,399,1.0,0,0.0019,0.76,0.27,0.0,9.23
12,0.6,0.69,0.75,188,1.73,0,0.00319,0.3468,0.06,0.0,8.67
5,0.74,0.83,0.77,497,1.16,1,0.00149,0.6379,0.06,0.2,8.58
7,0.71,0.57,0.65,810,1.16,2,0.00088,0.6121,0.08,0.2857,7.51
4,0.87,0.77,0.8,560,1.59,0,0.00155,0.5472,0.03,0.0,9.16
6,0.84,0.51,0.82,117,1.06,3,0.00718,0.7925,0.31,0.5,9.02
13,0.55,0.9,0.46,257,1.57,2,0.00214,0.3503,0.44,0.1538,9.14
20,0.79,0.74,0.76,270,1.08,0,0.00293,0.7315,0.02,0.0,10.0
15,0.83,0.86,0.91,973,1.12,2,0.00085,0.7411,0.05,0.1333,10.0
3,0.76,0.73,0.65,961,2.2,1,0.00079,0.3455,0.08,0.3333,7.81
8,0.67,0.7,0.61,104,2.27,0,0.00644,0.2952,0.09,0.0,8.35
20,0.94,0.75,0.64,156,1.0,0,0.00603,0.94,0.11,0.0,10.0
16,0.77,0.63,0.47,338,2.02,1,0.00228,0.3812,0.16,0.0625,8.77
13,0.9,0.46,0.72,594,2.48,1,0.00152,0.3629,0.26,0.0769,8.68
18,0.84,0.7,0.7,469,2.59,0,0.00179,0.3243,0.0,0.0,9.31
10,0.75,0.56,0.73,520,1.86,1,0.00144,0.4032,0.17,0.1,8.39
19,0.64,0.52,0.76,450,1.0,2,0.00142,0.64,0.24,0.1053,9.34
17,0.7,0.73,0.58,906,1.94,0,0.00077,0.3608,0.15,0.0,9.62
19,0.68,0.62,0.74,103,1.0,1,0.0066,0.68,0.12,0.0526,9.55
5,0.58,0.77,0.77,86,1.26,1,0.00674,0.4603,0.0,0.2,8.39
9,0.77,0.56,0.63,853,1.77,3,0.0009,0.435,0.07,0.3333,8.51
12,0.86,0.59,0.76,156,1.0,1,0.00551,0.86,0.17,0.0833,10.0
1,0.67,0.79,0.71,607,1.0,1,0.0011,0.67,0.08,1.0,8.92
1,0.92,0.68,0.61,680,1.83,2,0.00135,0.5027,0.07,2.0,7.73
15,0.54,0.47,0.74,626,2.81,2,0.00086,0.1922,0.27,0.1333,7.51
2,0.81,0.68,0.66,763,2.37,0,0.00106,0.3418,0.02,0.0,8.31
16,0.87,0.83,0.8,278,2.0,2,0.00313,0.435,0.03,0.125,10.0
8,0.68,0.59,0.66,244,2.19,2,0.00279,0.3105,0.07,0.25,6.77
13,0.68,0.72,0.51,128,1.95,0,0.00531,0.3487,0.21,0.0,8.16
1,0.8,0.55,0.74,888,1.81,2,0.0009,0.442,0.19,2.0,7.89
16,0.75,0.63,0.73,189,2.13,0,0.00397,0.3521,0.1,0.0,9.19
7,0.5,0.78,0.54,626,1.0,2,0.0008,0.5,0.24,0.2857,7.57
5,0.62,0.68,0.81,949,1.64,1,0.00065,0.378,0.13,0.2,7.58
3,0.7,0.8,0.8,668,1.44,2,0.00105,0.4861,0.0,0.6667,7.95
12,0.56,0.7,0.57,907,1.56,0,0.00062,0.359,0.13,0.0,8.09
16,0.65,0.92,0.6,658,1.18,1,0.00099,0.5508,0.32,0.0625,10.0
19,0.57,0.46,0.68,865,1.86,1,0.00066,0.3065,0.22,0.0526,8.62
5,0.66,0.62,0.59,690,1.0,1,0.00096,0.66,0.03,0.2,8.32
14,0.67,0.52,0.8,779,1.13,2,0.00086,0.5929,0.28,0.1429,9.1
5,0.74,0.53,0.72,393,1.04,1,0.00188,0.7115,0.19,0.2,8.88
15,0.69,0.53,0.54,984,2.1,1,0.0007,0.3286,0.01,0.0667,8.77
17,0.75,0.67,0.58,213,1.49,1,0.00352,0.5034,0.09,0.0588,9.81
14,0.74,0.68,0.88,606,1.18,2,0.00122,0.6271,0.2,0.1429,9.16
20,0.8,0.7,0.93,138,1.24,3,0.0058,0.6452,0.23,0.15,9.78
5,0.79,0.52,0.78,638,1.5,0,0.00124,0.5267,0.26,0.0,8.85
12,0.78,0.61,0.67,914,2.64,1,0.00085,0.2955,0.06,0.0833,8.05
16,1.0,0.53,0.63,472,1.0,1,0.00212,1.0,0.1,0.0625,10.0
16,0.73,0.76,0.78,605,1.97,0,0.00121,0.3706,0.02,0.0,9.83
7,0.96,0.55,0.71,668,1.83,1,0.00144,0.5246,0.16,0.1429,8.93
4,0.74,0.62,0.46,228,1.0,1,0.00325,0.74,0.16,0.25,7.48
1,0.69,0.72,0.85,740,2.53,0,0.00093,0.2727,0.13,0.0,8.0
5,0.66,0.58,0.9,722,1.88,0,0.00091,0.3511,0.32,0.0,8.1
10,0.85,0.73,0.81,642,1.14,1,0.00132,0.7456,0.08,0.1,9.97
5,0.86,0.84,0.54,574,1.0,1,0.0015,0.86,0.3,0.2,9.31
4,0.76,0.67,0.6,373,1.66,4,0.00204,0.4578,0.07,1.0,7.76
2,0.81,0.76,0.42,91,1.47,0,0.0089,0.551,0.34,0.0,8.63
20,0.57,0.4,0.94,346,1.0,0,0.00165,0.57,0.54,0.0,10.0
10,0.55,0.6,0.65,653,1.0,3,0.00084,0.55,0.05,0.3,8.56
19,0.82,0.67,1.0,102,2.11,2,0.00804,0.3886,0.33,0.1053,9.62
1,0.69,0.52,0.99,962,1.0,1,0.00072,0.69,0.47,1.0,8.23
5,0.77,0.67,0.56,676,1.72,1,0.00114,0.4477,0.11,0.2,8.37
13,0.63,0.78,0.59,60,1.37,1,0.0105,0.4599,0.19,0.0769,9.18
4,0.87,0.42,0.77,632,1.85,2,0.00138,0.4703,0.35,0.5,7.44
16,0.55,0.51,0.44,329,1.29,2,0.00167,0.4264,0.07,0.125,8.34
16,0.56,0.67,0.63,239,1.71,1,0.00234,0.3275,0.04,0.0625,8.74
2,0.84,0.71,0.62,795,1.0,0,0.00106,0.84,0.09,0.0,8.65
17,0.44,0.74,0.98,577,1.47,2,0.00076,0.2993,0.24,0.1176,9.44
20,0.74,0.66,0.72,162,1.84,3,0.00457,0.4022,0.06,0.15,9.04
12,0.69,0.71,0.66,69,1.61,1,0.01,0.4286,0.05,0.0833,9.66
18,0.63,0.76,0.61,642,1.77,1,0.00098,0.3559,0.15,0.0556,8.47
3,0.68,0.6,0.83,149,1.0,0,0.00456,0.68,0.23,0.0,8.49
1,0.62,0.58,0.63,285,1.09,1,0.00218,0.5688,0.05,1.0,7.75
1,0.85,0.63,0.69,729,1.1,0,0.00117,0.7727,0.06,0.0,9.27
19,0.88,0.67,0.6,799,1.31,0,0.0011,0.6718,0.07,0.0,10.0
11,0.63,0.57,0.47,976,2.45,1,0.00065,0.2571,0.1,0.0909,7.66
5,0.73,0.6,0.55,185,1.25,1,0.00395,0.584,0.05,0.2,7.75
12,0.57,0.7,0.62,268,1.0,0,0.00213,0.57,0.08,0.0,8.77
3,0.81,0.67,0.66,156,1.88,1,0.00519,0.4309,0.01,0.3333,8.14
1,0.8,0.63,0.67,133,2.44,0,0.00602,0.3279,0.04,0.0,7.12
1,0.67,0.44,0.69,686,1.0,0,0.00098,0.67,0.25,0.0,7.81
8,0.7,0.65,0.63,250,2.88,2,0.0028,0.2431,0.02,0.25,7.46
10,0.69,0.53,0.9,741,1.79,2,0.00093,0.3855,0.37,0.2,7.72
11,0.54,0.77,0.84,878,2.22,0,0.00062,0.2432,0.07,0.0,9.28
12,0.85,0.61,0.68,775,2.53,2,0.0011,0.336,0.07,0.1667,8.69
13,0.62,0.53,0.74,115,2.18,0,0.00539,0.2844,0.21,0.0,7.83
12,0.62,0.64,0.64,779,1.42,0,0.0008,0.4366,0.0,0.0,8.63
14,0.68,0.8,0.27,612,2.35,1,0.00111,0.2894,0.53,0.0714,6.89
2,0.8,0.73,0.7,91,1.68,1,0.00879,0.4762,0.03,0.5,7.85
19,0.64,0.68,0.75,586,2.26,0,0.00109,0.2832,0.07,0.0,9.69
18,0.5,0.49,0.46,633,2.34,3,0.00079,0.2137,0.03,0.1667,7.14
3,0.61,0.84,0.77,726,1.0,0,0.00084,0.61,0.07,0.0,9.07
17,0.74,0.58,0.66,343,2.06,1,0.00216,0.3592,0.08,0.0588,8.34
8,0.92,0.76,0.75,780,1.37,1,0.00118,0.6715,0.01,0.125,9.77
10,0.57,0.61,0.66,891,1.6,1,0.00064,0.3562,0.05,0.1,7.98
2,0.57,0.75,0.89,553,1.59,1,0.00103,0.3585,0.14,0.5,7.91
19,0.55,0.81,0.73,246,1.56,1,0.00224,0.3526,0.08,0.0526,9.43
9,0.54,0.73,0.85,557,2.57,1,0.00097,0.2101,0.12,0.1111,7.35
7,0.82,0.74,0.86,501,1.0,2,0.00164,0.82,0.12,0.2857,8.76
4,0.85,0.64,0.53,189,1.0,1,0.0045,0.85,0.11,0.25,9.06
18,0.72,0.6,0.59,698,1.0,2,0.00103,0.72,0.01,0.1111,9.65
13,0.65,0.67,0.77,351,2.25,0,0.00185,0.2889,0.1,0.0,9.23
11,0.88,0.61,0.65,173,1.0,0,0.00509,0.88,0.04,0.0,10.0
4,0.72,0.95,0.66,258,1.59,1,0.00279,0.4528,0.29,0.25,8.41
4,0.81,0.53,0.89,72,1.42,1,0.01125,0.5704,0.36,0.25,7.69
10,0.65,0.77,0.65,330,1.0,1,0.00197,0.65,0.12,0.1,8.97
5,0.7,0.71,0.55,660,2.1,1,0.00106,0.3333,0.16,0.2,7.6
9,0.58,0.68,0.57,274,1.41,1,0.00212,0.4113,0.11,0.1111,8.97
3,0.76,0.83,1.0,503,1.33,0,0.00151,0.5714,0.17,0.0,9.53
17,0.72,0.69,0.67,849,1.66,0,0.00085,0.4337,0.02,0.0,10.0
3,0.61,0.57,0.5,571,2.0,1,0.00107,0.305,0.07,0.3333,7.27
16,0.61,0.69,0.43,506,1.0,1,0.00121,0.61,0.26,0.0625,8.75
4,0.86,0.63,0.61,774,2.11,3,0.00111,0.4076,0.02,0.75,7.39
18,0.9,0.71,0.67,133,2.51,0,0.00677,0.3586,0.04,0.0,9.77
17,0.68,0.75,0.84,596,1.0,0,0.00114,0.68,0.09,0.0,10.0
7,0.71,0.55,0.83,160,1.69,0,0.00444,0.4201,0.28,0.0,8.36
5,0.74,0.79,0.7,235,1.29,1,0.00315,0.5736,0.09,0.2,8.59
12,0.71,0.62,0.63,486,1.99,2,0.00146,0.3568,0.01,0.1667,8.82
17,0.53,0.7,0.75,176,1.0,1,0.00301,0.53,0.05,0.0588,8.7
13,0.74,0.72,0.44,225,2.64,0,0.00329,0.2803,0.28,0.0,8.74
3,0.49,0.69,1.0,100,1.0,1,0.0049,0.49,0.31,0.3333,7.85
9,0.63,0.64,0.8,488,1.33,2,0.00129,0.4737,0.16,0.2222,7.79
17,0.75,0.59,0.83,403,1.8,0,0.00186,0.4167,0.24,0.0,10.0
17,0.76,0.62,0.54,483,1.02,1,0.00157,0.7451,0.08,0.0588,9.99
20,0.62,0.84,0.89,425,1.0,0,0.00146,0.62,0.05,0.0,10.0
16,0.65,0.55,0.63,179,1.66,3,0.00363,0.3916,0.08,0.1875,8.53
13,0.64,0.56,0.56,668,1.55,2,0.00096,0.4129,0.0,0.1538,9.04
19,0.69,0.56,0.69,716,1.5,2,0.00096,0.46,0.13,0.1053,9.32
17,0.7,0.67,0.69,787,2.1,1,0.00089,0.3333,0.02,0.0588,8.98
4,0.77,0.47,0.54,288,1.22,1,0.00267,0.6311,0.07,0.25,8.15
12,0.65,0.49,0.57,884,1.72,3,0.00074,0.3779,0.08,0.25,8.08
9,0.74,0.62,0.55,189,1.15,1,0.00392,0.6435,0.07,0.1111,8.42
19,0.75,0.5,0.56,411,1.0,0,0.00182,0.75,0.06,0.0,9.79
12,0.72,0.51,0.64,948,1.3,1,0.00076,0.5538,0.13,0.0833,8.66
9,0.67,0.5,0.49,377,1.15,1,0.00178,0.5826,0.01,0.1111,7.47
7,0.72,0.55,0.6,708,1.19,1,0.00102,0.605,0.05,0.1429,8.48
14,0.78,0.74,0.86,895,2.32,3,0.00087,0.3362,0.12,0.2143,7.74
20,0.78,0.76,0.82,396,1.32,0,0.00197,0.5909,0.06,0.0,10.0
19,0.88,0.88,0.54,332,1.04,1,0.00265,0.8462,0.34,0.0526,10.0
15,0.6,0.88,0.84,176,1.52,1,0.00341,0.3947,0.04,0.0667,9.32
16,0.66,0.74,0.41,877,1.57,0,0.00075,0.4204,0.33,0.0,9.67
5,0.54,0.77,1.0,427,1.0,2,0.00126,0.54,0.23,0.4,7.84
3,0.79,0.67,0.9,153,1.29,0,0.00516,0.6124,0.23,0.0,9.42
12,0.67,0.71,0.62,227,1.26,0,0.00295,0.5317,0.09,0.0,9.55
20,0.72,0.88,0.76,774,1.38,2,0.00093,0.5217,0.12,0.1,9.27
4,0.64,0.69,0.49,400,2.01,0,0.0016,0.3184,0.2,0.0,8.66
16,0.67,0.79,0.71,720,1.6,2,0.00093,0.4188,0.08,0.125,9.05
7,0.82,0.54,0.67,973,2.36,0,0.00084,0.3475,0.13,0.0,7.82
13,0.77,0.57,0.57,754,1.49,0,0.00102,0.5168,0.0,0.0,8.66
10,0.69,0.69,0.63,984,2.74,2,0.0007,0.2518,0.06,0.2,7.47
7,0.78,0.67,0.61,211,1.18,1,0.0037,0.661,0.06,0.1429,8.73
14,0.78,0.58,0.53,645,1.0,1,0.00121,0.78,0.05,0.0714,9.46
5,0.66,0.94,0.57,936,1.88,2,0.00071,0.3511,0.37,0.4,7.48
3,0.55,0.67,0.48,972,2.45,0,0.00057,0.2245,0.19,0.0,7.22
11,0.61,0.6,0.83,333,1.0,0,0.00183,0.61,0.23,0.0,9.16
11,0.57,0.67,0.56,613,1.36,0,0.00093,0.4191,0.11,0.0,7.9
18,0.82,0.65,0.52,555,1.07,1,0.00148,0.7664,0.13,0.0556,9.84
15,0.83,0.67,0.83,783,1.6,1,0.00106,0.5187,0.16,0.0667,8.68
12,0.86,0.46,0.76,160,1.51,1,0.00538,0.5695,0.3,0.0833,9.11
9,0.5,0.81,0.82,616,2.44,0,0.00081,0.2049,0.01,0.0,7.89
10,0.81,0.81,0.84,141,1.42,0,0.00574,0.5704,0.03,0.0,9.89
12,0.92,0.83,0.99,588,2.46,0,0.00156,0.374,0.16,0.0,10.0
17,0.81,0.69,0.68,132,1.28,2,0.00614,0.6328,0.01,0.1176,9.26
6,0.48,0.73,0.48,73,2.15,1,0.00658,0.2233,0.25,0.1667,7.45
7,0.88,0.55,0.74,492,1.66,0,0.00179,0.5301,0.19,0.0,8.7
14,0.7,0.75,0.6,216,2.71,0,0.00324,0.2583,0.15,0.0,9.29
13,0.68,0.68,0.56,794,1.0,1,0.00086,0.68,0.12,0.0769,9.05
8,0.75,0.59,0.71,191,1.0,0,0.00393,0.75,0.12,0.0,8.94
10,0.6,0.75,0.83,397,2.78,0,0.00151,0.2158,0.08,0.0,8.58
9,0.7,0.76,0.57,463,1.0,0,0.00151,0.7,0.19,0.0,9.07
18,0.86,0.66,0.89,435,1.03,1,0.00198,0.835,0.23,0.0556,10.0
2,0.76,0.7,0.55,947,1.0,0,0.0008,0.76,0.15,0.0,8.42
5,0.71,0.53,0.66,618,2.3,1,0.00115,0.3087,0.13,0.2,7.41
5,0.71,0.8,0.76,166,1.0,2,0.00428,0.71,0.04,0.4,9.24
6,0.58,0.54,0.64,679,1.52,1,0.00085,0.3816,0.1,0.1667,6.94
19,0.69,0.57,0.43,324,1.31,1,0.00213,0.5267,0.14,0.0526,9.17
8,0.54,0.66,0.84,264,2.23,0,0.00205,0.2422,0.18,0.0,8.35
16,0.8,0.78,0.61,138,1.11,3,0.0058,0.7207,0.17,0.1875,9.38
13,0.48,0.78,0.81,214,1.79,1,0.00224,0.2682,0.03,0.0769,9.17
1,0.79,0.65,0.51,842,1.0,0,0.00094,0.79,0.14,0.0,8.44
20,0.8,0.74,0.54,306,3.09,1,0.00261,0.2589,0.2,0.05,8.69
17,0.83,0.45,0.83,590,1.33,1,0.00141,0.6241,0.38,0.0588,9.82
7,0.71,0.56,0.75,917,1.51,1,0.00077,0.4702,0.19,0.1429,8.33
13,0.79,0.57,0.63,597,2.66,2,0.00132,0.297,0.06,0.1538,7.8
4,0.68,0.8,0.75,788,1.09,0,0.00086,0.6239,0.05,0.0,9.22
4,0.58,0.73,0.56,213,2.67,1,0.00272,0.2172,0.17,0.25,6.67
6,0.85,0.67,0.72,213,1.21,2,0.00399,0.7025,0.05,0.3333,8.47
19,0.69,0.68,0.72,745,1.97,1,0.00093,0.3503,0.04,0.0526,9.14
12,0.56,0.84,0.64,151,1.1,0,0.00371,0.5091,0.2,0.0,9.82
7,0.65,0.63,0.57,492,1.0,2,0.00132,0.65,0.06,0.2857,6.9
10,0.66,0.49,0.71,397,1.79,0,0.00166,0.3687,0.22,0.0,8.55
19,0.75,0.78,0.69,539,1.95,1,0.00139,0.3846,0.09,0.0526,9.6
7,0.93,0.67,0.63,752,1.0,1,0.00124,0.93,0.04,0.1429,8.76
3,0.75,0.76,0.54,190,1.29,2,0.00395,0.5814,0.22,0.6667,7.96
13,0.72,0.64,0.7,509,2.34,1,0.00141,0.3077,0.06,0.0769,8.68
13,0.95,0.55,0.63,869,1.92,1,0.00109,0.4948,0.08,0.0769,9.29
18,0.8,0.7,0.54,846,1.22,2,0.00095,0.6557,0.16,0.1111,8.42
20,0.73,0.65,0.71,332,1.08,0,0.0022,0.6759,0.06,0.0,10.0
8,0.65,0.67,0.94,988,2.86,1,0.00066,0.2273,0.27,0.125,7.51
9,0.73,0.84,0.64,647,1.0,1,0.00113,0.73,0.2,0.1111,9.52
7,0.69,0.52,0.92,236,1.46,1,0.00292,0.4726,0.4,0.1429,8.64
1,0.71,0.68,1.0,755,1.0,0,0.00094,0.71,0.32,0.0,8.57
3,0.83,0.55,0.56,890,2.42,2,0.00093,0.343,0.01,0.6667,7.35
13,0.65,0.34,0.7,702,1.5,0,0.00093,0.4333,0.36,0.0,8.39
17,0.75,0.64,1.0,934,1.62,4,0.0008,0.463,0.36,0.2353,7.98
1,0.79,0.65,0.68,108,3.44,0,0.00731,0.2297,0.03,0.0,7.59
6,0.63,0.72,0.71,626,1.08,2,0.00101,0.5833,0.01,0.3333,8.02
6,0.62,0.62,0.45,725,2.72,0,0.00086,0.2279,0.17,0.0,6.82
12,0.68,0.47,0.62,414,1.23,1,0.00164,0.5528,0.15,0.0833,8.47
13,0.65,0.55,0.78,771,1.34,1,0.00084,0.4851,0.23,0.0769,8.98
13,0.82,0.81,1.0,367,3.35,2,0.00223,0.2448,0.19,0.1538,8.44
15,0.6,0.55,0.67,927,1.39,1,0.00065,0.4317,0.12,0.0667,9.03
16,0.71,0.84,0.45,944,1.0,1,0.00075,0.71,0.39,0.0625,8.95
11,0.95,0.78,0.49,689,1.7,0,0.00138,0.5588,0.29,0.0,9.03
5,0.74,0.61,0.69,834,1.38,0,0.00089,0.5362,0.08,0.0,8.57
4,0.76,0.56,0.88,105,1.76,0,0.00724,0.4318,0.32,0.0,9.11
3,0.82,0.78,0.8,361,1.41,0,0.00227,0.5816,0.02,0.0,9.01
19,0.65,0.62,0.77,927,3.05,2,0.0007,0.2131,0.15,0.1053,8.67
20,0.59,0.46,0.9,971,1.89,1,0.00061,0.3122,0.44,0.05,8.98
18,0.72,0.72,0.59,467,1.0,1,0.00154,0.72,0.13,0.0556,9.71
15,0.73,0.7,0.7,248,1.59,0,0.00294,0.4591,0.0,0.0,9.53
9,0.54,0.79,0.62,881,1.0,0,0.00061,0.54,0.17,0.0,8.86
17,0.74,0.69,0.66,889,1.33,2,0.00083,0.5564,0.03,0.1176,9.61
14,0.81,0.58,0.55,188,1.0,0,0.00431,0.81,0.03,0.0,10.0
15,0.61,0.8,0.65,620,2.97,1,0.00098,0.2054,0.15,0.0667,8.33
1,0.74,0.81,0.7,596,1.02,3,0.00124,0.7255,0.11,3.0,8.42
3,0.79,0.68,0.64,325,1.98,1,0.00243,0.399,0.04,0.3333,7.48
16,0.76,0.66,0.68,177,1.27,1,0.00429,0.5984,0.02,0.0625,9.5
11,0.77,0.49,0.76,523,1.0,0,0.00147,0.77,0.27,0.0,9.18
12,0.68,0.58,0.89,203,1.64,1,0.00335,0.4146,0.31,0.0833,8.92
10,0.59,0.74,0.9,501,1.78,3,0.00118,0.3315,0.16,0.3,7.88
16,0.66,0.58,0.81,259,1.89,1,0.00255,0.3492,0.23,0.0625,9.19
8,0.64,0.48,0.51,216,1.0,2,0.00296,0.64,0.03,0.25,7.59
6,0.69,1.0,0.65,546,1.0,1,0.00126,0.69,0.35,0.1667,9.01
12,0.81,0.47,0.66,919,2.17,0,0.00088,0.3733,0.19,0.0,8.89
8,0.57,0.92,0.6,193,1.0,1,0.00295,0.57,0.32,0.125,7.86
4,0.71,0.61,0.75,971,1.64,1,0.00073,0.4329,0.14,0.25,8.85
8,0.59,0.64,0.46,207,1.0,0,0.00285,0.59,0.18,0.0,8.38
18,0.63,0.57,0.95,395,2.01,3,0.00159,0.3134,0.38,0.1667,7.65
5,0.76,0.74,0.88,130,2.15,1,0.00585,0.3535,0.14,0.2,8.34
9,0.58,0.48,0.77,292,2.01,0,0.00199,0.2886,0.29,0.0,8.0
4,0.77,0.43,0.69,393,2.22,0,0.00196,0.3468,0.26,0.0,7.6
17,0.56,0.84,0.88,870,2.59,1,0.00064,0.2162,0.04,0.0588,9.35
9,0.77,0.55,0.8,725,1.0,1,0.00106,0.77,0.25,0.1111,9.43
1,0.55,0.74,0.87,149,1.0,1,0.00369,0.55,0.13,1.0,8.3
20,0.64,0.52,0.69,393,2.13,0,0.00163,0.3005,0.17,0.0,9.35
13,0.89,0.74,0.97,258,2.29,3,0.00345,0.3886,0.23,0.2308,8.73
16,0.87,0.85,0.88,220,1.03,1,0.00395,0.8447,0.03,0.0625,10.0
13,0.66,0.59,0.78,597,1.0,0,0.00111,0.66,0.19,0.0,9.0
14,0.74,0.42,0.89,180,1.04,1,0.00411,0.7115,0.47,0.0714,9.37
3,0.82,0.85,0.64,360,1.0,1,0.00228,0.82,0.21,0.3333,8.93
6,0.77,0.76,0.52,783,1.0,2,0.00098,0.77,0.24,0.3333,8.76
18,0.67,0.59,0.75,634,1.0,1,0.00106,0.67,0.16,0.0556,9.45
19,0.63,0.62,0.69,495,1.29,1,0.00127,0.4884,0.07,0.0526,8.83
5,0.79,0.52,0.67,127,1.69,0,0.00622,0.4675,0.15,0.0,8.37
15,0.81,0.82,0.88,824,1.8,0,0.00098,0.45,0.06,0.0,10.0
2,0.87,0.59,0.73,981,1.14,0,0.00089,0.7632,0.14,0.0,9.47
10,0.53,0.48,0.74,518,1.16,1,0.00102,0.4569,0.26,0.1,7.71
18,0.57,0.68,0.65,573,1.59,0,0.00099,0.3585,0.03,0.0,9.87
13,0.82,0.55,0.83,457,1.0,1,0.00179,0.82,0.28,0.0769,10.0
5,0.54,0.53,0.81,679,2.17,2,0.0008,0.2488,0.28,0.4,6.78
1,0.82,0.6,0.83,345,2.4,2,0.00238,0.3417,0.23,2.0,6.7
1,0.68,0.66,0.63,620,1.06,1,0.0011,0.6415,0.03,1.0,7.9
18,0.65,0.48,0.9,199,1.22,2,0.00327,0.5328,0.42,0.1111,9.14
15,0.72,0.82,0.98,789,2.37,2,0.00091,0.3038,0.16,0.1333,9.23
17,0.57,0.73,0.83,615,1.41,1,0.00093,0.4043,0.1,0.0588,9.2
11,0.78,0.61,0.58,988,1.91,2,0.00079,0.4084,0.03,0.1818,8.82
17,0.87,0.54,0.58,840,1.44,0,0.00104,0.6042,0.04,0.0,9.41
13,0.79,0.64,0.64,649,2.59,1,0.00122,0.305,0.0,0.0769,7.75
1,0.68,0.76,0.62,787,1.84,0,0.00086,0.3696,0.14,0.0,8.26
2,0.55,0.74,0.69,953,1.88,1,0.00058,0.2926,0.05,0.5,6.5
9,0.55,0.78,0.79,669,1.9,1,0.00082,0.2895,0.01,0.1111,8.25
3,0.57,0.59,0.74,807,1.11,0,0.00071,0.5135,0.15,0.0,9.45
1,0.7,0.3,0.73,341,1.18,1,0.00205,0.5932,0.43,1.0,7.37
16,0.71,0.8,0.66,720,2.04,0,0.00099,0.348,0.14,0.0,8.94
6,0.79,0.63,0.69,983,1.59,0,0.0008,0.4969,0.06,0.0,8.7
17,0.52,0.73,0.82,875,1.0,1,0.00059,0.52,0.09,0.0588,9.61
5,0.83,0.85,0.4,995,2.81,0,0.00083,0.2954,0.45,0.0,7.66
5,0.77,0.94,0.7,637,2.18,0,0.00121,0.3532,0.24,0.0,8.81
6,0.67,0.57,0.74,805,1.53,3,0.00083,0.4379,0.17,0.5,7.07
3,0.58,0.67,0.82,516,1.31,1,0.00112,0.4427,0.15,0.3333,8.68
5,0.82,0.81,0.55,146,1.64,1,0.00562,0.5,0.26,0.2,8.4
5,0.67,0.55,0.54,138,1.86,2,0.00486,0.3602,0.01,0.4,7.52
10,0.7,0.58,0.79,264,1.0,0,0.00265,0.7,0.21,0.0,9.14
10,0.74,0.58,0.41,850,2.98,0,0.00087,0.2483,0.17,0.0,8.09
19,0.61,0.65,0.9,396,1.0,3,0.00154,0.61,0.25,0.1579,9.28
